,base_word,guide_word,level,none,category,details,link
0,cattle,,B1,,animals,Details,/british-english/words/detail/817
1,clothes,,A1,,clothes,Details,/british-english/words/detail/972
2,albeit,,C2,,,Details,/british-english/words/detail/157
3,and,ALSO,A1,,communication,Details,/british-english/words/detail/229
4,and,AFTER,A1,,communication,Details,/british-english/words/detail/229
5,because,,A1,,communication,Details,/british-english/words/detail/491
6,but,DIFFERENT STATEMENT,A1,,communication,Details,/british-english/words/detail/719
7,and,AFTER VERB,A2,,communication,Details,/british-english/words/detail/229
8,as,BECAUSE,A2,,communication,Details,/british-english/words/detail/330
9,although,BUT,B1,,communication,Details,/british-english/words/detail/192
10,although,DESPITE,B1,,communication,Details,/british-english/words/detail/192
11,and,EMPHASIZE,B1,,communication,Details,/british-english/words/detail/229
12,close,,B1,,describing things,Details,/british-english/words/detail/966
13,as,JOB,A1,,work,Details,/british-english/words/detail/330
14,and,NUMBERS,A1,,,Details,/british-english/words/detail/229
15,as,USE,A2,,,Details,/british-english/words/detail/330
16,before,EARLIER,A2,,,Details,/british-english/words/detail/499
17,after,,B1,,,Details,/british-english/words/detail/127
18,as,BEING OR APPEARING,B1,,,Details,/british-english/words/detail/330
19,as,WHILE,B1,,,Details,/british-english/words/detail/330
20,as,LIKE,B1,,,Details,/british-english/words/detail/330
21,before,TO AVOID SOMETHING,B1,,,Details,/british-english/words/detail/499
22,before,UNTIL,B1,,,Details,/british-english/words/detail/499
23,but,EXPLAINING WHY,B1,,,Details,/british-english/words/detail/719
24,eight,,A1,,,Details,/british-english/words/detail/1852
25,eighteen,,A1,,,Details,/british-english/words/detail/1853
26,eleven,,A1,,,Details,/british-english/words/detail/1879
27,eighth,,A2,,,Details,/british-english/words/detail/1854
28,eighty,,A2,,,Details,/british-english/words/detail/1855
29,insofar as,,C2,,,Details,/british-english/words/detail/3043
30,fifteen,,A1,,,Details,/british-english/words/detail/2224
31,five,,A1,,,Details,/british-english/words/detail/2270
32,four,,A1,,,Details,/british-english/words/detail/2366
33,fourteen,,A1,,,Details,/british-english/words/detail/2367
34,fifth,,A2,,,Details,/british-english/words/detail/2225
35,fifty,,A2,,,Details,/british-english/words/detail/2226
36,forty,NUMBER,A2,,,Details,/british-english/words/detail/2359
37,fourth,,A2,,,Details,/british-english/words/detail/2368
38,hundred,NUMBER,A2,,,Details,/british-english/words/detail/2814
39,if,DEPENDING,A2,,,Details,/british-english/words/detail/2854
40,if,ALWAYS,B1,,,Details,/british-english/words/detail/2854
41,if,MIGHT,B1,,,Details,/british-english/words/detail/2854
42,if,WHETHER,B1,,,Details,/british-english/words/detail/2854
43,if,WOULD/MIGHT/COULD HAVE,B2,,,Details,/british-english/words/detail/2854
44,however,,C2,,,Details,/british-english/words/detail/2799
45,million,NUMBER,A2,,,Details,/british-english/words/detail/3625
46,like,,B1,,,Details,/british-english/words/detail/3381
47,or,POSSIBILITIES,A1,,communication,Details,/british-english/words/detail/4007
48,or,NOT EITHER,A2,,communication,Details,/british-english/words/detail/4007
49,or,WARNING,B1,,communication,Details,/british-english/words/detail/4007
50,or,CHANGE,B2,,communication,Details,/british-english/words/detail/4007
51,only,,C2,,communication,Details,/british-english/words/detail/3982
52,nine,,A1,,,Details,/british-english/words/detail/3847
53,nineteen,,A1,,,Details,/british-english/words/detail/3848
54,one,,A1,,,Details,/british-english/words/detail/3977
55,ninety,NUMBER,A2,,,Details,/british-english/words/detail/3849
56,ninth,,A2,,,Details,/british-english/words/detail/3850
57,now,,B2,,,Details,/british-english/words/detail/3899
58,once,,B2,,,Details,/british-english/words/detail/3976
59,or,REASON,C1,,,Details,/british-english/words/detail/4007
60,provided (that),,B2,,communication,Details,/british-english/words/detail/4565
61,second,ANOTHER,B1,,describing things,Details,/british-english/words/detail/5148
62,politically,,C1,,,Details,/british-english/words/detail/4338
63,second,AFTER FIRST,A1,,,Details,/british-english/words/detail/5148
64,plus,,B1,,,Details,/british-english/words/detail/4313
65,second,"ONLY ONE BETTER/BIGGER, ETC.",B1,,,Details,/british-english/words/detail/5148
66,seventy,,A2,,,Details,/british-english/words/detail/5238
67,so,SENTENCE BEGINNING,A2,,communication,Details,/british-english/words/detail/5441
68,seven,,A1,,,Details,/british-english/words/detail/5235
69,seventeen,,A1,,,Details,/british-english/words/detail/5236
70,six,,A1,,,Details,/british-english/words/detail/5370
71,sixteen,,A1,,,Details,/british-english/words/detail/5371
72,ten,,A1,,,Details,/british-english/words/detail/5934
73,thirteen,,A1,,,Details,/british-english/words/detail/6007
74,three,,A1,,,Details,/british-english/words/detail/6022
75,to,INFINITIVE,A1,,,Details,/british-english/words/detail/6068
76,seventh,,A2,,,Details,/british-english/words/detail/5237
77,sixth,,A2,,,Details,/british-english/words/detail/5372
78,sixty,,A2,,,Details,/british-english/words/detail/5373
79,so,REASON,A2,,,Details,/british-english/words/detail/5441
80,that,,A2,,,Details,/british-english/words/detail/5972
81,third,,A2,,,Details,/british-english/words/detail/6003
82,thirty,,A2,,,Details,/british-english/words/detail/6008
83,thousand,NUMBER,A2,,,Details,/british-english/words/detail/6018
84,to,REASON,A2,,,Details,/british-english/words/detail/6068
85,to,INSTEAD OF VERB,A2,,,Details,/british-english/words/detail/6068
86,since,TIME,B1,,,Details,/british-english/words/detail/5350
87,since,BECAUSE,B1,,,Details,/british-english/words/detail/5350
88,though,DESPITE,B1,,,Details,/british-english/words/detail/6013
89,till,,B1,,,Details,/british-english/words/detail/6050
90,though,BUT,B2,,,Details,/british-english/words/detail/6013
91,zero,NUMBER,A2,,,Details,/british-english/words/detail/6775
92,while,ALTHOUGH,B2,,communication,Details,/british-english/words/detail/6639
93,while,COMPARING,B1,,communication,Details,/british-english/words/detail/6639
94,whereas,,B2,,communication,Details,/british-english/words/detail/6633
95,zero,TEMPERATURE,B1,,natural world,Details,/british-english/words/detail/6775
96,twelve,,A1,,,Details,/british-english/words/detail/6223
97,twenty,NUMBER,A1,,,Details,/british-english/words/detail/6224
98,two,NUMBER,A1,,,Details,/british-english/words/detail/6229
99,when,AT WHAT TIME,A2,,,Details,/british-english/words/detail/6629
100,where,POSITION,A2,,,Details,/british-english/words/detail/6631
101,while,DURING,A2,,,Details,/british-english/words/detail/6639
102,unless,,B1,,,Details,/british-english/words/detail/6341
103,until,TIME,B1,,,Details,/british-english/words/detail/6383
104,until,DIRECTIONS,B1,,,Details,/british-english/words/detail/6383
